index,layer,operation,exec_time
0,6,idle,4589238877
1,6,write,1541
2,6,idle,1152959
3,6,write,4125
4,6,idle,434722958
5,6,write,3857709
6,6,idle,21382583
7,6,write,58750
8,6,write,3747083
9,6,write,2334
10,6,idle,17445750
11,6,write,41833
12,6,write,3043750
13,6,write,4875
14,6,idle,19402667
15,6,write,45583
16,6,write,3112458
17,6,write,2375
18,6,idle,548167501
19,6,write,2886625
20,6,idle,15313458
21,6,write,44708
22,6,write,2843584
23,6,write,5250
24,6,idle,15940875
25,6,write,40541
26,6,write,2876250
27,6,write,4167
28,6,idle,15880708
29,6,write,35959
30,6,write,2976958
31,6,write,2292
32,6,idle,13206458
33,6,write,28000
34,6,write,2419917
35,6,write,2416
36,6,idle,11866542
37,6,write,29458
38,6,write,2118959
39,6,write,4041
40,6,idle,11365084
41,6,write,29666
42,6,write,1877792
43,6,write,3125
44,6,idle,10349750
45,6,write,19958
46,6,write,1894000
47,6,write,1917
48,6,idle,10116417
49,6,write,20166
50,6,write,2054334
51,6,write,2000
52,6,idle,10357958
53,6,write,34833
54,6,write,2073167
55,6,write,4583
56,6,idle,10420375
57,6,write,31334
58,6,write,1977291
59,6,write,4334
60,6,idle,9970125
61,6,write,19958
62,6,write,1931417
63,6,write,2750
64,6,idle,9957125
65,6,write,21625
66,6,write,2148625
67,6,write,1791
68,6,idle,9856042
69,6,write,19042
70,6,write,1898750
71,6,write,2041
72,6,idle,985542
73,6,write,1375
74,6,write,164042
75,6,write,458
76,6,idle,10599917
77,6,write,20333
78,6,write,1984000
79,6,write,2083
80,6,idle,10852292
81,6,write,21875
82,6,write,1930917
83,6,write,1708
84,6,idle,10875250
85,6,write,18792
86,6,write,1959791
87,6,write,2250
88,6,idle,10860417
89,6,write,18875
90,6,write,1846375
91,6,write,1583
92,6,idle,10678500
93,6,write,21917
94,6,write,1978500
95,6,write,2083
96,6,idle,10624542
97,6,write,20083
98,6,write,2099209
99,6,write,2375
100,6,idle,7959041
101,6,write,18584
102,6,write,1570500
103,6,write,1750
104,6,idle,1588248084
105,6,write,197041
106,6,write,103042
107,6,write,12583
108,6,idle,4405667503
109,6,write,1059083
110,6,idle,51043958
111,6,read,1911125
112,6,idle,15133959
113,6,write,7958
114,6,write,383542
115,6,write,12791
116,6,idle,49538875
117,6,write,8042
118,6,write,821167
119,6,write,8208
120,6,idle,26149000
121,6,write,6583
122,6,write,1448625
123,6,write,9000
124,6,idle,18380875
125,6,write,5667
126,6,write,2844583
127,6,write,7709
128,6,idle,387583
129,6,write,45708
130,6,write,167292
131,6,write,4083
132,6,idle,33383875
133,6,write,8334
134,6,write,335916
135,6,write,5834
136,6,idle,23025389427
137,6,write,4959959
138,6,idle,24227666
139,6,write,32459
140,6,write,3994125
141,6,write,2083
142,6,idle,23632208
143,6,write,37875
144,6,write,4598000
145,6,write,3709
146,6,idle,18917500
147,6,write,34291
148,6,write,3152709
149,6,write,3541
150,6,idle,18846250
151,6,write,3135792
152,6,idle,699320459
153,6,write,4159458
154,6,idle,21713542
155,6,write,27958
156,6,write,3980958
157,6,write,2375
158,6,idle,43641167
159,6,write,32375
160,6,write,3111500
161,6,write,1917
162,6,idle,16773541
163,6,write,33625
164,6,write,3101375
165,6,write,1792
166,6,idle,16996042
167,6,write,32583
168,6,write,3151833
169,6,write,4250
170,6,idle,16678250
171,6,write,35584
172,6,write,3113375
173,6,write,3166
174,6,idle,4747000
175,6,write,899084
176,6,idle,16927333
177,6,write,3374083
178,6,idle,322417
179,6,write,112250
180,6,idle,1473168293
181,6,write,171666
182,6,idle,28567708222
183,6,write,1844833
184,6,idle,1439044168
185,6,write,483000
